# Detailed performance comparison of introsort::sort and std::slice::sort.
# I benchmark various "patterns" (methods of generating lists), modified 
# by varioues "variants" (ways of "shuffling" the generated list).
# These patterns and variant are parametrized by a parameters m.
#
# The patterns are
# * sawtooth: v[i] = i % m
# * rand: v[i] = random()
# * stagger: v[i] = (i*m + i) % size
# * plateau: v[i] = min(i, m)
# * shuffle: if random() / m == 0 { j+=2; j } else { k += 2; k }
#
# The variations are
# * ident: no change
# * reverse: reversed
# * reverse_front: first half reversed
# * reverse_back: second hald reversed
# * sort: sorted
# * dither: v[i] += i % 5
#
# The type of the elements sorted was i32.
# Listed below are values for throughput (elements / microsecond).
# Taking the geometric mean for introsort we get 93.8, compared to 37.0 for std.
#
# Both algorithms use insertion sort for small lists, so size = 10 only compares
# the repective insertion sort implementations.
# For larger values it can be seen that introsort is many times faster than std when
# the list has few unique elements or is (partially) sorted.

size     m        pattern   variant        introsort  std    introsort/std
10000    4096     shuffle   reverse        124.7      29.8   4.19
10000    4096     shuffle   reverse_front  127.0      34.3   3.71
10000    4096     shuffle   reverse_back   123.3      35.2   3.51
10000    4096     shuffle   sort           150.6      46.6   3.23
10000    4096     shuffle   dither         140.7      45.7   3.08
10000    8192     sawtooth  ident          71.2       48.8   1.46
10000    8192     sawtooth  reverse        74.9       28.4   2.64
10000    8192     sawtooth  reverse_front  73.1       36.2   2.02
10000    8192     sawtooth  reverse_back   67.5       33.9   1.99
10000    8192     sawtooth  sort           147.8      47.1   3.14
10000    8192     sawtooth  dither         59.5       48.7   1.22
10000    8192     rand      ident          20.1       21.5   0.94
10000    8192     rand      reverse        20.3       21.5   0.94
10000    8192     rand      reverse_front  20.3       21.4   0.95
10000    8192     rand      reverse_back   20.4       21.5   0.95
10000    8192     rand      sort           149.3      47.2   3.16
10000    8192     rand      dither         20.3       21.5   0.94
10000    8192     stagger   ident          22.2       24.2   0.92
10000    8192     stagger   reverse        22.0       24.3   0.90
10000    8192     stagger   reverse_front  21.7       23.9   0.91
10000    8192     stagger   reverse_back   21.8       23.8   0.92
10000    8192     stagger   sort           149.3      46.9   3.18
10000    8192     stagger   dither         22.2       24.2   0.92
10000    8192     plateau   ident          134.7      47.1   2.86
10000    8192     plateau   reverse        115.4      32.4   3.56
10000    8192     plateau   reverse_front  116.9      34.7   3.37
10000    8192     plateau   reverse_back   144.8      39.0   3.71
10000    8192     plateau   sort           134.8      47.4   2.84
10000    8192     plateau   dither         125.5      41.3   3.04
10000    8192     shuffle   ident          150.1      47.0   3.19
10000    8192     shuffle   reverse        126.2      30.2   4.17
10000    8192     shuffle   reverse_front  127.8      35.0   3.65
10000    8192     shuffle   reverse_back   122.8      35.5   3.46
10000    8192     shuffle   sort           149.8      47.2   3.17
10000    8192     shuffle   dither         139.8      46.6   3.00
10000    16384    sawtooth  ident          151.7      47.0   3.22
10000    16384    sawtooth  reverse        127.3      30.5   4.17
10000    16384    sawtooth  reverse_front  128.7      35.0   3.68
10000    16384    sawtooth  reverse_back   124.2      35.9   3.46
10000    16384    sawtooth  sort           150.8      47.3   3.19
10000    16384    sawtooth  dither         122.5      46.3   2.65
10000    16384    rand      ident          20.1       21.5   0.93
10000    16384    rand      reverse        19.8       21.5   0.92
10000    16384    rand      reverse_front  20.1       21.4   0.94
10000    16384    rand      reverse_back   20.4       21.4   0.95
10000    16384    rand      sort           149.1      47.1   3.17
10000    16384    rand      dither         20.4       21.4   0.95
10000    16384    stagger   ident          22.8       24.0   0.95
10000    16384    stagger   reverse        22.9       23.9   0.96
10000    16384    stagger   reverse_front  22.0       23.2   0.95
10000    16384    stagger   reverse_back   22.7       22.9   0.99
10000    16384    stagger   sort           127.3      46.8   2.72
10000    16384    stagger   dither         22.9       24.1   0.95
10000    16384    plateau   ident          150.4      47.2   3.18
10000    16384    plateau   reverse        127.7      30.1   4.25
10000    16384    plateau   reverse_front  127.8      34.2   3.74
10000    16384    plateau   reverse_back   124.7      35.1   3.55
10000    16384    plateau   sort           150.9      46.6   3.24
10000    16384    plateau   dither         121.5      45.7   2.66
